所属地市,所属区县,所属供电所,变电站名称,变电站ID,变电站母线编号,馈线ID,馈线名称,电压等级(kV),电网类型,供电分区分类,供电区域特征,线路性质,产权性质,线路类别,主干电缆型号,主干电缆长度(km),主干裸导线型号,主干裸导线长度(km),主干绝缘架空型号,主干绝缘架空线长度(km),主干架空线长度(km),主干总长度(km),电缆总长度(km),架空绝缘线总长度(km),架空裸导线总长度(km),线路总长度(km),供电半径(km),接线模式,安全电流(A),主干线自动化分段数,无功补偿容量(kVar),供电负荷性质,装接公变台数,装接公变容量(kVA),装接专变台数,装接专变容量(kVA),装接配变总数,装接容量(kVA),线路总用户数(个),低压用户数(个),开关柜(面),三遥开关柜(面),二遥开关柜(面),柱上开关(台),三遥柱上开关(台),二遥柱上开关(台),户外开关站(座),户内开关站(座),三遥终端(套),二遥终端(套),带通信功能的故障指示器(套),投运日期,联络线路1变电站名称,联络线路1GISID,联络线路1名称,联络线路1高峰负荷时刻电流(A),联络线路2变电站名称,联络线路2GISID,联络线路2名称,联络线路2高峰负荷时刻电流(A),联络线路3变电站名称,联络线路3GISID,联络线路3名称,联络线路3高峰负荷时刻电流(A),联络线路4变电站名称,联络线路4GISID,联络线路4名称,联络线路4高峰负荷时刻电流(A),年最大电流(A),最大电流出现时间,高峰负荷时刻电流(A),年最高负载率(%),上一年度最高负载率(%),上一年度高峰负荷时刻电流(A),平均电流(A),平均负载率(%),线路供电负荷性质,年售电量(kWh),年供电量(kWh),线损率(%),上一年度线路故障次数,是否故障高发,是否重载,是否过载,过载累计持续时间(h),过载次数,重载累计持续时间(h),重载次数,重过载原因分析,线路最大用户容量(kVA),是否预计下一年过载,是否轻载,供电半径是否过长,是否站间联络线路,是否站内联络线路,是否同母线联络线路,是否同杆架设线路联络,是否首端联络,是否主干线挂灯笼,是否联络点不合理,是否单辐射,是否非典型接线,是否不可转供,是否装接容量偏高(>12MVA),是否装接容量偏低(<2MVA),是否存在大分支,是否主干线不满足自动化配置要求,是否重要分支线不满足自动化配置要求,末端电压(kV),是否存在馈线电压异常,馈线电压异常原因分析,是否存在抗风能力不足,是否存在防雷能力不足,是否存在用户故障出门,用户故障出门次数,是否存在安全隐患,是否残旧,是否报装受限,馈线供电区域报装负荷(kVA),是否实现馈线自动化,实现配电自动化情况,是否实现配电自动化有效覆盖,是否实现自愈最低布点要求,是否未实现光纤覆盖,设备状态,是否备用线路,是否单一用户线路,是否属于贫困地区,是否属于中心村,是否属于国有林场供电线路,是否属于革命老区示范区,备注(规划),备注(生技),备注(营销),备注(调度),主键
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汕头供电局,汕头潮阳供电局,城南供电所,110kV口美变电站,418007751417601.0,I,420220627576300.0,10kV美中线518,10kV,农网,B,城镇,公用,电网资产,电缆线路,YJV22,2.99,/,0.0,0,0.0,0.0,2.99,4.39,0.05,0.0,4.44,3.19,“3-1”单环网,508.0,0.0,0.0,工民混合,9.0,5035.0,1.0,200.0,10.0,5235.0,3213.0,3203.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,0.0,13.0,2018年10月23日,110kV口美变电站,420220631435600.0,10kV美华线522,312.54,,,,,,,,,,,,,360.7,2022年06月05日,131.84,71.0,,,64.86,12.77,工民混合,10187637.6,10333149.0,1.4082,0.0,否,否,否,,,,,,,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,是,否,10.0,否,,否,否,否,,否,否,否,,否,无,否,否,否,运行,否,否,否,否,否,否,,,,,E963C1CF263E6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,和平供电所,110kV双凤变电站,418007751419501.0,I,418007752215701.0,10kV练岗线516,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22;YJV22-8.7/15-3*300,1.02,/,0.0,0,0.0,0.0,1.02,4.42,7.54,0.04,12.0,4.39,架空线路单联络,508.0,2.0,0.0,工民混合,21.0,10725.0,19.0,7255.0,40.0,17980.0,3133.0,3094.0,28.0,28.0,0.0,12.0,6.0,0.0,3.0,0.0,34.0,0.0,31.0,2002年01月01日,110kV双凤变电站,418007752212401.0,10kV练北线517,212.99,,,,,,,,,,,,,441.56,2021年05月23日,284.77,86.92,,,197.53,38.88,工民混合,31157861.3,31468298.0,0.9865,0.0,否,否,否,,,,,,,否,否,否,否,是,是,否,否,否,否,否,否,否,是,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,否,否,否,运行,否,否,否,否,否,否,,,,,E963C1CF263F6256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,和平供电所,110kV里美变电站,418220008646100.0,ⅡB,420220752008100.0,10kV里平线525,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22,4.25,/,0.0,0,0.0,0.0,4.25,5.07,2.26,0.16,7.49,4.93,架空线路两联络,508.0,5.0,0.0,工民混合,13.0,6300.0,8.0,2560.0,21.0,8860.0,1820.0,1800.0,15.0,15.0,0.0,2.0,1.0,0.0,3.0,0.0,16.0,0.0,4.0,2020年08月19日,110kV双凤变电站,418007752218601.0,10kV练中线515,224.41,110kV和平变电站,418007751879801.0,10kV新中线548,251.81,,,,,,,,,307.8,2021年03月08日,226.8,60.59,,,86.01,16.93,工民混合,13155294.9,13702194.0,3.9913,0.0,否,否,否,,,,,,,否,否,否,是,否,否,否,是,否,否,否,否,否,否,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点不合理）,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26406256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,和平供电所,110kV双凤变电站,418007751419501.0,I,418007752225401.0,10kV大峰线525,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22,0.99,/,0.0,0,0.0,0.0,0.99,3.36,3.12,0.0,6.48,3.21,架空线路单联络,508.0,2.0,0.0,工民混合,4.0,1630.0,21.0,13410.0,25.0,15040.0,443.0,422.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,2002年01月01日,110kV双凤变电站,418007752192801.0,10kV和太线523,361.52,,,,,,,,,,,,,381.44,2021年09月14日,353.03,75.09,,,210.45,41.43,工民混合,33414573.0,33526143.0,0.3328,0.0,否,否,否,,,,,,,否,否,否,否,是,是,否,否,否,否,否,否,是,是,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点不合理）,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26416256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,西胪供电所,110kV关埠变电站,418007751415801.0,I,420220350196500.0,10kV东潮线513,10kV,农网,C,乡村,公用,电网资产,架空线路,YJV22,2.27,/,0.0,JKLGYJ-240,8.42,8.42,10.69,3.3,10.45,0.15,13.9,10.78,架空线路单联络,508.0,2.0,0.0,居住,31.0,14240.0,12.0,6725.0,43.0,20965.0,8215.0,8171.0,26.0,26.0,0.0,7.0,2.0,0.0,0.0,0.0,28.0,0.0,20.0,2016年10月31日,110kV关埠变电站,418007751811801.0,10kV陂美线526,319.57,,,,,,,,,,,,,533.67,2022年07月24日,430.66,105.05,,,195.85,38.55,居住,29594273.9,31201501.0,5.1511,0.0,否,是,否,,,,,,,是,否,是,否,是,否,是,是,否,否,否,否,是,是,否,否,否,是,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,否,否,否,运行,否,否,否,否,否,否,,,,,E963C1CF26426256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,海门供电所,220kV弼臣站,418480010198100.0,Ⅲ,420480036810100.0,10kV弼园乙线534,10kV,农网,C,乡村,公用,电网资产,电缆线路,YJV22,4.99,/,0.0,0,0.0,0.0,4.99,7.84,0.0,0.0,7.84,5.49,“3-1”单环网,508.0,5.0,0.0,工业,0.0,0.0,8.0,13650.0,8.0,13650.0,8.0,3.0,86.0,86.0,0.0,0.0,0.0,0.0,12.0,0.0,86.0,0.0,16.0,2021年11月10日,220kV弼臣站,420480033962800.0,10kV弼兴甲线529,371.25,,,,,,,,,,,,,408.0,2022年03月26日,352.97,80.31,,,0.0,0.0,工业,0.0,0.0,0.0,0.0,否,是,否,,,,,,,是,否,是,否,是,是,否,是,否,否,否,否,否,是,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点不合理）,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26436256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,贵屿供电所,110kV仙马变电站,418007751420601.0,Ⅲ,418007752391401.0,10kV龙业线553,10kV,农网,C,乡村,公用,电网资产,电缆线路,YJV22;YJV22-8.7/15-3*300,0.39,/,0.0,0,0.0,0.0,0.39,1.74,2.72,0.0,4.46,1.83,架空线路单联络,508.0,3.0,0.0,工民混合,1.0,400.0,13.0,5935.0,14.0,6335.0,89.0,76.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,4.0,0.0,5.0,2002年01月01日,110kV仙马变电站,418007752380701.0,10kV龙港线563,260.51,,,,,,,,,,,,,493.0,2022年08月17日,148.83,97.05,,,174.25,34.3,工民混合,27437487.4,27759828.0,1.1612,0.0,否,否,否,,,,,,,否,否,否,否,是,否,否,否,否,否,否,否,否,否,否,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26446256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,谷饶供电所,220kV谷饶变电站,418007751415601.0,I,420220667546500.0,10kV谷山线529,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22,5.98,/,0.0,0,0.0,0.0,5.98,6.58,1.67,0.0,8.25,6.8,架空线路单联络,508.0,5.0,0.0,居住,13.0,6215.0,3.0,1030.0,16.0,7245.0,412.0,396.0,13.0,13.0,0.0,4.0,2.0,0.0,0.0,0.0,15.0,0.0,3.0,2019年01月02日,110kV东洋变电站,418008239580901.0,10kV东寮线527,294.43,110kV上堡变电站,418008217061001.0,10kV裕联线556,175.78,110kV东洋变电站,418008394896001.0,10kV五洲线516,317.58,,,,,536.42,2022年02月25日,359.47,105.59,,,117.59,23.15,居住,18299722.4,18732695.0,2.3113,0.0,否,否,否,,,,,,,否,否,是,是,否,否,否,否,否,否,否,否,否,否,否,否,否,是,10.0,否,,否,否,否,,否,否,否,,是,三遥（布点合理）,否,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26456256E0533D14930A8E43
汕头供电局,汕头潮阳供电局,和平供电所,110kV和平变电站,418007751416401.0,Ⅱ,418007751901901.0,10kV丰兴盛I线568,10kV,农网,B,乡村,公用,电网资产,电缆线路,YJV22-3*300,1.65,/,0.0,JKLGYJ-240,0.58,0.58,2.23,1.74,0.58,0.0,2.32,2.28,单辐射,452.0,0.0,0.0,工民混合,0.0,0.0,2.0,630.0,2.0,630.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002年01月01日,,,,,,,,,,,,,,,,,218.08,2021年11月07日,20.86,48.25,,,83.75,18.53,工民混合,13412250.0,13342720.0,-0.5211,0.0,否,否,否,,,,,,,否,否,否,否,否,否,否,否,否,否,否,否,否,否,是,否,否,否,10.0,否,,否,否,否,,否,否,否,,是,无,是,是,否,运行,否,否,否,否,否,否,,,,,E963C1CF26466256E0533D14930A8E43
