所属地市,所属区县,所属供电所,变电站名称,馈线名称,所属馈线GISID,配变ID,配变名称,电压等级(kV),供电分区分类,电网类型,公专变标志,额定容量(kVA),配变类型,干式/油浸式,配变型号,负荷性质,无功补偿容量(kVar),年最大负荷(kW),年最高负载率(%),最大负荷发生时刻,平均负荷(kW),平均负载率(%),售电量(kWh),供电量(kWh),线损率(%),接入用户数(户),实现一户一表用户数(户),接入用户总容量(kW),接入用户负荷性质,近一年净增接入容量(kW),已接入最大用户报装容量(kW),低压线裸导线长度(km),低压线绝缘线长度(km),低压线总长度(km),最大负荷月供电量(kWh),台区出线回路数(回),台区低压主干线主要线径,低压侧额定电流(A),低压侧额定电压(V),投运日期,是否过载,过载次数,过载累计持续时间(min),是否重载,重载次数,重载累计持续时间(min),过载/重载原因分析,预计下一年是否过载,是否轻载,低压侧最大负荷A相电流(A),低压侧最大负荷B相电流(A),低压侧最大负荷C相电流(A),三相电流不平衡度(%),是否三相不平衡,电压超限时间,首端电压最小值(V),首端电压最大值(V),末端电压最小值(V),末端电压最大值(V),是否存在台区电压偏低，且末端电压低于180V,是否存在台区电压偏低，且末端电压处于180-198V之间,是否存在台区电压偏高，且末端电压高于235V,是否存在台区电压偏高,是否存在台区电压偏低,低电压紧急程度,台区电压偏低主要原因,台区电压偏高主要原因,是否存在残旧设备或线路,是否存在安全隐患,供电半径(m),是否供电半径过大,低电压投诉次数,是否报装受限,配变供电区域报装负荷(kVA),是否需实现光纤覆盖,是否安装配变监测终端,是否需改造配变监测终端,是否存在一变多村,是否高损配变,总电表数(块),智能电表数(块),智能电表覆盖率(%),是否智能电表未全覆盖,已实现低压集抄的用户数(户),低压集抄覆盖率(%),是否低压集抄未全覆盖,主要电能表投运时间,设备状态,是否属于中心村,是否属于贫困地区,是否属于国有林场供电配变,是否属于革命老区示范区,是否已开展可研或列入投资计划项目,备注(规划),备注(生技),备注(营销),备注(调度),系统ID主键,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418007765071501.0,10kV下底二片1#公用台变,10kV,D,农网,公变,500.0,柱上变,油浸式,SBH15-M-500/10,居住,150.0,145.0,29.0,2022年07月01日,65.0,13.0,634292.03,673932.0,5.88,356.0,356.0,356.0,居住,246.0,,,,0.0,56161.0,1.0,185.0,721.71,,2010年06月24日,否,0.0,0.0,否,0.0,0.0,,否,否,236.0,148.0,132.0,44.0678,否,,227.0,237.0,197.0,207.0,否,否,否,否,否,无,,,否,否,380.0,否,1.0,否,0.0,否,是,否,否,否,356.0,356.0,100.0,否,356.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF2C496256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418007765059601.0,下底三片2号公变,10kV,D,农网,公变,315.0,柱上变,油浸式,S11-M-315/10,居住,150.0,166.0,52.7,2022年07月01日,78.0,24.76,619758.45,638889.5,2.99,302.0,302.0,302.0,居住,30.0,,,,0.0,53240.81,2.0,240.0,454.68,,2012年02月17日,否,0.0,0.0,否,0.0,0.0,,否,否,162.75,182.7,131.1,28.243,否,,223.0,233.0,193.0,203.0,否,否,否,否,否,无,,,否,否,330.0,否,0.0,否,0.0,否,是,否,否,否,302.0,302.0,100.0,否,302.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF38BD6256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418007764872101.0,东湖2号公变,10kV,D,农网,公变,250.0,柱上变,油浸式,S11-M-250/10,居住,150.0,165.0,66.0,2022年07月01日,47.0,18.8,526383.69,535113.6,1.63,142.0,142.0,142.0,居住,228.0,,,,0.0,44592.8,2.0,150.0,360.85,,2010年06月01日,否,0.0,0.0,否,0.0,0.0,,否,否,175.12,183.6,182.24,4.6187,否,,228.0,238.0,198.0,208.0,否,否,否,否,否,无,,,否,否,580.0,是,0.0,否,0.0,否,是,否,否,否,142.0,142.0,100.0,否,142.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF28336256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418007765041401.0,堂后1号公变,10kV,D,农网,公变,315.0,柱上变,油浸式,SH15-M-315/10,居住,150.0,135.0,42.86,2022年07月01日,44.0,13.97,503676.0,527105.0,4.44,553.0,553.0,553.0,居住,133.0,,,,0.0,43925.42,2.0,185.0,454.68,,2014年12月13日,否,0.0,0.0,否,0.0,0.0,,否,否,106.0,143.0,227.0,53.304,否,,234.0,244.0,197.0,214.0,否,否,否,否,否,无,,,否,否,570.0,是,0.0,否,0.0,否,是,否,否,否,553.0,553.0,100.0,否,553.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF3F816256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418007764989101.0,上底2号公变,10kV,D,农网,公变,500.0,柱上变,油浸式,S13-M-500/10,居住,150.0,280.0,56.0,2022年07月01日,97.0,19.4,839426.8,880854.0,4.7,469.0,469.0,469.0,居住,259.0,,,,0.0,73404.5,2.0,240.0,721.71,,2010年06月01日,否,0.0,0.0,否,7.0,1.0,,否,否,204.2,285.6,268.4,28.5014,否,,225.0,235.0,195.0,205.0,否,否,否,否,否,无,,,否,否,220.0,否,0.0,否,0.0,否,是,否,否,否,469.0,469.0,100.0,否,469.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF30926256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418008338502101.0,下一片3#公用台变,10kV,D,农网,公变,100.0,柱上变,油浸式,SH15-M-100/10,居住,150.0,99.0,99.0,2022年07月01日,39.0,39.0,256531.95,264359.7,2.96,232.0,232.0,232.0,居住,154.0,,,,0.0,22029.98,2.0,240.0,144.34,,2014年04月24日,否,0.0,0.0,否,57.0,0.0,,否,否,125.01,145.17,108.09,25.5425,否,,224.0,234.0,194.0,204.0,否,否,否,否,否,无,,,否,否,270.0,否,0.0,否,0.0,否,是,否,否,否,232.0,232.0,100.0,否,232.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF28546256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418007764961401.0,桥头4号公变,10kV,D,农网,公变,315.0,柱上变,油浸式,SBH15-M-315/10,居住,150.0,144.0,45.71,2022年07月01日,47.0,14.92,485875.6,501524.2,3.12,249.0,249.0,249.0,居住,63.0,,,,0.0,41793.72,1.0,120.0,454.68,,2014年06月30日,否,0.0,0.0,否,0.0,0.0,,否,否,131.25,108.9,129.15,17.0286,否,,226.0,236.0,196.0,206.0,否,否,否,否,否,无,,,否,否,411.0,否,0.0,否,0.0,否,是,否,否,否,249.0,249.0,100.0,否,249.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF2ADC6256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,418007765005001.0,埔上2号公变,10kV,D,农网,公变,100.0,柱上变,油浸式,S11-M-100/10,居住,150.0,92.0,92.0,2022年07月01日,32.0,32.0,272583.55,279294.9,2.4,259.0,259.0,259.0,居住,133.0,,,,0.0,23274.58,1.0,185.0,144.34,,2002年01月01日,否,0.0,0.0,是,16.0,2.0,,否,否,59.55,85.14,106.68,44.1789,否,,222.0,232.0,192.0,202.0,否,否,否,否,否,无,,,否,否,360.0,否,0.0,否,0.0,否,是,否,否,否,259.0,259.0,100.0,否,259.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF39036256E0533D14930A8E43,,,,,,,,,
汕头供电局,汕头潮阳供电局,关埠供电所,110kV关埠变电站,10kV关埠线516,418007751801101.0,420220471288700.0,10kV下一4#公用台变,10kV,D,农网,公变,200.0,柱上变,油浸式,S11-M-200/10,居住,150.0,154.0,77.0,2022年07月01日,54.0,27.0,0.0,0.0,0.0,99.0,99.0,99.0,居住,56.0,,,,0.0,0.0,2.0,150.0,288.68,,2016年12月27日,否,0.0,0.0,否,0.0,0.0,,否,否,179.0,151.0,172.0,15.6425,否,,224.0,234.0,194.0,204.0,否,否,否,否,否,无,,,否,否,350.0,否,0.0,否,0.0,否,是,否,否,否,99.0,99.0,100.0,否,99.0,100.0,否,,运行,否,否,否,否,否,,,,,E963C1CF2D866256E0533D14930A8E43,,,,,,,,,
